input_position,distance,source_id,designation,ra,dec,l,b,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,a_g_percentile_lower,a_g_percentile_upper,a_g_val,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_observations,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_pseudo_colour,astrometric_pseudo_colour_error,astrometric_sigma5d_max,astrometric_weight_al,bp_g,bp_rp,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,duplicated_source,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,e_bp_min_rp_val,flame_flags,frame_rotator_object_type,g_rp,lum_percentile_lower,lum_percentile_upper,lum_val,matched_observations,mean_varpi_factor_al,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_n_obs,phot_variable_flag,pmra_pmdec_corr,priam_flags,ra_dec_corr,radial_velocity,radial_velocity_error,radius_percentile_lower,radius_percentile_upper,radius_val,random_index,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ref_epoch,rv_nb_transits,rv_template_fe_h,rv_template_logg,rv_template_teff,solution_id,teff_percentile_lower,teff_percentile_upper,teff_val,visibility_periods_used,other_ids
"296.40820249999996,44.96374166666667",2.5026224358179835E-5,2079735628451463296,Gaia DR2 2079735628451463296,296.40817468196263,44.96372621026053,78.61654072920267,10.061238749248458,316.33755438068994,64.21413435251948,0.5087281971792655,-4.583397450270979,-3.60663373549299,7.4506955,7.3943567,7.5797443,0.02900190440177544,0.03959371374363358,0.03616624956057966,0.06569807661979064,0.0715357420253718,0.0089,0.1285,0.057,671.7408,0.084708899644221,2.3849841614233593,15.605353,22,4,188,192,192,31,true,1.847569613552385,0.00922189113775169,0.049769368,50.274372,-0.056338787,-0.18538761,0.31642237,-0.2454393,-0.2067693,true,0.0066,0.0645,0.0298,,0,-0.12904882,,,,24,0.07807327,14.06638,-0.049297594,-0.051717103,1.523395436828175E7,24718.868026593253,616.2885,23,1.1504965,1.9727321312098287E7,14952.666069172325,1319.318,206,1,7462258.6782108685,13185.658853904657,565.9375,23,NOT_AVAILABLE,0.09813178,100002,0.18158482,,,,,,1458775133,0.12220376,-0.18504696,-0.13664213,2015.5,0,,,,1635721458409799680,7963.25,9593.0,8868.667,15,Gaia DR1 2079735624150744064
"291.85175499999997,42.229309444444446",1.2228267773172044E-4,2101750806176118272,Gaia DR2 2101750806176118272,291.85182045954156,42.229197178305746,74.60193653611316,11.73948617629226,307.19193533079624,62.87500210134374,2.772609707284464,11.19533580892605,-26.120810771069316,7.5365596,7.578606,7.4974947,0.03343068687488452,0.03823081405790397,0.04213723086765905,0.07411504277293901,0.07088308966556683,0.163,0.7725,0.5745,796.96765,0.12627837363893507,5.632438626906622,17.52427,24,6,207,213,213,31,true,1.7819485218241127,0.010093001850188323,0.048482787,33.95177,0.042046547,0.08111143,0.4440793,-0.13539384,0.05435199,true,0.082,0.3811,0.2535,,0,0.039064884,,,,30,-0.10625295,65.79952,-0.079999074,0.014297585,1.2856207628281163E7,16885.899616895553,761.3576,28,1.1469457,1.822730714355585E7,6810.634545167565,2676.3008,246,0,8049523.524701624,15929.808300096689,505.312,25,NOT_AVAILABLE,-0.09077586,100001,-0.12491277,,,,,,1300832380,-0.14797623,0.06427034,-0.20310037,2015.5,0,,,,1635721458409799680,8781.25,9232.0,9065.75,15,Gaia DR1 2101750801872503040
"288.55248124999997,49.767625555555554",8.837811512519354E-5,2132690273103943296,Gaia DR2 2132690273103943296,288.55253134529363,49.76770779776982,80.72625523104587,16.92321167207531,308.52548088340126,70.73509490574561,1.8027431481196372,7.458412143243901,19.079744638430903,7.5950294,8.31176,6.8231416,0.024044900107499205,0.031285282426325,0.0262240469464899,0.05280794514242779,0.07337250166063204,0.0549,0.5377,0.1823,281.3262,0.0,0.0,4.4094396,23,5,189,194,194,31,true,1.4805847299585337,0.009045195400627787,0.056253262,82.93192,0.7167306,1.4886184,0.064856365,-0.5050717,-0.016056398,false,0.0329,0.2755,0.091,200111,0,0.7718878,279.4098,293.41327,286.41153,32,0.057393126,68.7439,-0.01708071,-0.047470067,6544122.209126039,13912.981840778351,470.36087,25,1.2462084,1.7271676349741675E7,4707.025152645173,3669.34,244,0,1.4979985790787727E7,44831.33262078382,334.141,25,NOT_AVAILABLE,-0.1293672,100001,-0.016881615,-46.29068291755023,0.14135111795069363,27.430805,30.481604,29.674612,1680232855,-0.024541227,-0.04987738,-0.28182048,2015.5,16,0.0,4.5,4250.0,1635721458409799680,4300.8574,4533.7197,4358.9453,15,Gaia DR1 2132690268804260608
"293.95776583333327,42.36609638888889",5.357343779273956E-5,2077747333469959168,Gaia DR2 2077747333469959168,293.957745613167,42.36604494069387,75.44090285624088,10.410175670527533,310.4875346048029,62.478478246945,1.0485409233965675,-3.4778489097121117,-11.950441907648468,7.4138913,8.4155445,6.4632554,0.024622598759372866,0.03210595029471521,0.028965348642872993,0.050128047268467674,0.0634744869445169,,,,289.36545,0.0,0.0,4.5786514,22,0,192,192,192,31,true,1.3985246960843385,0.007485745845436782,0.047963552,99.46177,1.0016532,1.9522891,0.09089861,-0.48345822,-0.18863755,false,,,,200111,0,0.9506359,1159.2957,1268.0935,1213.6946,27,0.07589105,36.199837,-0.11708155,-0.23226637,5947540.680758539,11850.448644388667,501.88318,26,1.313969,2.040749631632695E7,10850.299838787842,1880.8232,225,0,2.0867276544406135E7,45913.15372000614,454.4945,25,NOT_AVAILABLE,0.061498348,100001,0.17752306,21.6735068244312,0.13737236202104824,67.20721,77.04411,72.000626,1141641629,0.09726931,-0.21718661,-0.24326831,2015.5,13,0.0,4.5,3900.0,1635721458409799680,3881.36,4155.715,4015.0,15,Gaia DR1 2077747329166751360
"293.8748783333333,45.4357225",3.3234596521900636E-5,2127965946519825664,Gaia DR2 2127965946519825664,293.87491111558177,45.43574648693594,78.19858872174635,11.861365715649516,312.92974893041776,65.35546415145004,1.1944888523643757,5.326471860090589,5.524479622656386,7.472238,8.452845,6.5321884,0.018352270232445646,0.023326873194820668,0.02152989113921961,0.03964756598343146,0.045111331299686266,,,,465.75772,0.0,0.0,7.444573,30,3,263,266,266,31,true,1.4062118335897005,0.005532786042357795,0.037400573,94.25903,0.98060656,1.9206562,0.10515649,-0.45243594,-0.04265268,false,,,,200111,0,0.94004965,864.55066,922.81726,893.68396,38,0.09470027,55.480488,0.022777492,-0.18237072,5746686.129183487,12503.624608654867,459.60162,31,1.3097526,1.9339755493659712E7,8535.889526503144,2265.699,292,0,1.95836087164508E7,37860.13330703664,517.262,30,NOT_AVAILABLE,-0.03047534,100001,-0.032735627,-23.891168210702567,0.19287131161723534,60.080997,65.83089,62.34621,416033559,-0.012505002,-0.018860238,-0.1309032,2015.5,14,0.0,4.5,3900.0,1635721458409799680,3889.6226,4071.4934,3996.8447,17,Gaia DR1 2127965942218004608
"285.13307875,41.68424611111111",7.974802430863998E-5,2104067683330612992,Gaia DR2 2104067683330612992,285.1331768796137,41.684277559804265,71.98231641424871,16.073582956223948,296.16142132891656,63.75550025845635,12.04817790942885,17.016736988378426,7.241709568044541,7.6103888,7.827916,7.2983947,0.025136515871174197,0.0281740548798597,0.030545880578072494,0.05446877718717456,0.05514857825600042,0.1994,0.875,0.5487,493.99002,0.0,0.0,10.297929,24,1,212,213,213,31,true,1.6783044677376937,0.008238609685862909,0.041118592,80.02989,0.21752739,0.52952147,0.3487564,-0.2241186,-0.20316033,false,0.087,0.4297,0.2727,200111,0,0.31199408,4.51968,4.556428,4.538054,30,-0.117444724,394.4289,-0.2655775,-0.1088939,1.0218540903369725E7,14782.70931022207,691.2495,24,1.1678962,1.702906364594929E7,4808.565457990806,3541.402,237,0,9669636.035344832,16571.047277947244,583.52594,26,NOT_AVAILABLE,-0.13741104,100001,-0.0036727013,,,1.4978517,1.6561514,1.5900985,1376726635,0.17946309,-0.22247846,0.05560192,2015.5,0,,,,1635721458409799680,6546.267,6883.5,6680.85,14,Gaia DR1 2104067679031766144
"298.56132958333325,44.847322222222225",3.170434966055982E-5,2079112926916521472,Gaia DR2 2079112926916521472,298.56129986449696,44.84729853240401,79.26796863517988,8.673456048135165,319.37325183852886,63.47323893200242,1.5078209480498055,-4.897792384327379,-5.504133285204001,7.5462255,8.506842,6.6188574,0.026665002614252014,0.027113316223789458,0.027638365607137016,0.06336582092070724,0.052484521711025266,,,,336.38165,0.0,0.0,5.4843974,24,2,210,212,212,31,true,1.4090623076603657,0.007973341609829453,0.04786435,87.92906,0.9606161,1.8879843,0.2545347,-0.45519707,0.0910502,false,,,,200111,0,0.92736816,502.52972,533.86273,518.1962,29,-0.010831526,54.55536,-0.13767682,-0.014846711,5467876.330247985,8853.244559325518,617.61273,28,1.3035157,1.8065749163521864E7,6308.247720836199,2863.83,246,0,1.8081110797460143E7,30056.29138498689,601.5749,27,NOT_AVAILABLE,-0.15612657,100001,-0.025091399,10.142765008855559,0.9348823412489492,41.756477,49.88768,46.953045,1419733418,-0.01702297,0.080113105,-0.3572541,2015.5,11,0.0,4.5,3900.0,1635721458409799680,3899.0,4261.75,4019.0,15,Gaia DR1 2079112922608436224
"286.0990808333333,38.107598611111115",7.448531091007002E-5,2099949359449611648,Gaia DR2 2099949359449611648,286.09906674943636,38.10767226742006,68.87249326754261,13.99469858727111,295.9614977273533,60.10421644932987,3.347582295936114,-2.574117189666124,17.078519144218106,7.700899,8.152514,7.1280317,0.02174903184773171,0.03228319925224566,0.02894587302520986,0.04826826736627523,0.0610022331715448,,,,370.32697,0.0,0.0,6.213085,25,1,220,221,221,31,true,1.575328323285317,0.007249935324723504,0.04548558,75.98221,0.45161533,1.0244827,0.2248651,-0.4474392,-0.029226601,false,,,,200111,0,0.5728674,57.756832,59.400974,58.578903,32,0.13622993,115.64973,-0.05822366,-0.13100244,7577911.141912092,8475.772372748886,894.0673,27,1.2057377,1.5667028461723804E7,3475.464841740591,4507.8945,253,1,1.1312415377017884E7,15916.136773689772,710.75134,28,NOT_AVAILABLE,-0.021562029,100002,-0.06948619,-25.43342581878933,0.9428333523199846,8.92958,9.514819,9.379533,307357452,-0.060802776,0.013838475,-0.22237505,2015.5,15,0.0,4.5,5000.0,1635721458409799680,5176.8,5343.75,5214.0,16,Gaia DR1 2099949355150104576
"291.1276249999999,37.187774722222215",3.985354442997797E-5,2051765044774262656,Gaia DR2 2051765044774262656,291.1276111431663,37.18773642807554,69.75013588658706,10.00003912547995,303.0484061072093,58.22729327426921,2.144015170350733,-2.584183624244032,-8.915080143027636,7.757723,7.9128013,7.4913588,0.026241406961007813,0.029700772962025734,0.031054261642359842,0.05648967336872144,0.05433820747973934,0.9117,1.2724,1.161,596.40247,0.0,1.918372467636195E-15,12.593439,25,2,221,223,223,31,true,1.6901185934554737,0.008399642160101225,0.041518964,67.39062,0.15507841,0.4214425,0.22185406,-0.40185106,-0.09588643,true,0.4354,0.6435,0.582,200111,0,0.2663641,125.6079,131.51605,128.56198,27,-0.04806455,69.04093,-0.18104415,-0.20470637,9450062.541970013,31739.290275378207,297.7402,25,1.1800522,1.4868160245749438E7,17934.600776515592,829.021,236,0,8095142.129664148,51690.82455438239,156.60695,24,NOT_AVAILABLE,0.054798383,100001,0.111991316,,,6.167785,6.751928,6.492135,1246085612,0.05124078,-0.063168526,-0.33212456,2015.5,0,,,,1635721458409799680,7479.81,7826.0,7628.0,16,Gaia DR1 2051765044774262656
"299.2584070833333,41.57413722222223",8.939027918191619E-5,2075352803312372224,Gaia DR2 2075352803312372224,299.2585258315518,41.57414716797954,76.67688800224043,6.581359859307245,317.5170503890929,60.278207166441966,2.5242497990171144,20.60440117301869,2.2574903183474384,7.702354,8.511494,6.8591075,0.026804588929909414,0.03654712227749678,0.03859849549418101,0.05816312016847725,0.06485379063402215,0.256,0.792,0.523,287.81897,0.0,9.8653193632092E-16,3.716659,24,2,209,211,211,31,true,1.4580837674138718,0.007858826293585938,0.042561732,78.38421,0.8091397,1.6523862,0.5209135,0.07712892,-0.10627815,false,0.1113,0.3863,0.2457,200111,0,0.84324646,149.3719,156.27898,152.82544,28,-0.023415472,65.39762,0.083359905,-0.022170123,5444497.080328034,8882.77606001862,612.9274,26,1.274212,1.5646050073668981E7,6089.0256650387155,2569.549,234,0,1.4491886998452963E7,15448.87946660865,938.05426,25,NOT_AVAILABLE,0.08000173,100001,0.17886949,18.013952250950602,0.13897083193572637,22.661266,25.438066,24.59591,1096060286,0.28272927,-0.07888634,-0.08620743,2015.5,12,0.0,3.0,4500.0,1635721458409799680,4023.7703,4263.175,4092.077,14,Gaia DR1 2075352799000907136
"287.0202274999999,49.08184916666667",9.696383271489698E-5,2131298291383139712,Gaia DR2 2131298291383139712,287.02008002837033,49.081857661655555,79.67183439628934,17.593984596668385,304.97704062534405,70.46148873564194,3.4042749239208763,-22.841632797297216,1.9048951170686168,7.8481197,8.4768,7.131031,0.02487760448335512,0.04108559737387109,0.02798834566831913,0.05787041214257364,0.07317956927837285,0.1714,1.9901,0.481,280.10645,0.0,0.0,3.223615,24,2,213,215,215,31,true,1.4932954550010393,0.007290300307697727,0.06313013,66.036125,0.6286802,1.3457689,0.34608814,-0.74878794,0.32596815,false,0.0677,0.8968,0.185,200111,0,0.7170887,56.069973,57.604893,56.837433,34,0.053452313,121.631874,-0.19755125,-0.06329341,5621279.576526087,8405.367299641483,668.77264,29,1.2355273,1.3680385186799688E7,4129.88993699797,3312.5303,264,0,1.1281208718390537E7,23171.919891600377,486.84827,28,NOT_AVAILABLE,-0.37129173,100001,-0.33968398,-14.667007433200915,0.13268140798471761,11.078907,12.26142,11.668836,673960657,-0.09765615,0.32948884,-0.26514128,2015.5,13,0.0,4.5,4500.0,1635721458409799680,4526.0,4761.42,4639.5,13,Gaia DR1 2131298287083377664
