RA,Dec,Name,Kepler_ID,2MASS ID,Data Availability,Seasons on CCD,J,kepmag,Edge_Distance_0 (px),Channel_0,Module_0,Output_0,Row_0,Column_0,Channel_1,Module_1,Output_1,Row_1,Column_1,Channel_2,Module_2,Output_2,Row_2,Column_2,Channel_3,Module_3,Output_3,Row_3,Column_3
19 20 31.469,+50 20 24.81,HD_182076,11960922,19203145+5020247,2,4,5.026,6.927,36,81,24,1,512,1071,29,10,1,517,1070,1,2,1,518,1075,53,16,1,511,1075
19 25 49.567,+50 51 06.25,HD_183203,12208512,19254956+5051061,0,4,4.315,6.928,164,81,24,1,487,180,29,10,1,493,179,1,2,1,493,184,53,16,1,487,184
18 59 05.754,+43 43 15.66,HD_176626,7943968,18590576+4343156,0,4,6.726,6.933,67,59,17,3,130,147,67,19,3,132,150,27,9,3,127,151,19,7,3,125,147
19 18 58.113,+40 21 37.64,HD_181521,5180075,19185810+4021377,0,4,6.738,6.939,9,19,7,3,872,1098,59,17,3,877,1098,67,19,3,879,1101,27,9,3,874,1101
19 37 17.590,+38 35 39.15,HD_185397,3455268,19371759+3835392,0,4,6.263,6.953,358,8,3,4,407,408,36,11,4,411,408,80,23,4,412,404,52,15,4,408,404
19 46 41.294,+44 20 54.71,HD_187160,8379927,19464129+4420547,2,,6.885,5.934,6.961,355,27,9,3,406,639,19,7,3,404,635,59,17,3,409,635,67,19,3,412
19 43 04.493,+39 59 49.64,HD_186505,4850899,19430449+3959495,2,,6.948,6.315,6.962,11,7,3,3,998,303,35,11,3,1003,303,79,23,3,1004,307,51,15,3,1000
19 17 08.979,+41 15 53.31,HD_181068,5952403,19170897+4115536,2,4,5.431,6.966,207,18,7,2,437,901,58,17,2,432,901,66,19,2,433,906,26,9,2,436,905
19 41 39.815,+40 01 20.44,HD_186255,4937492,19413981+4001205,0,4,6.471,6.966,0,6,3,2,1022,503,34,11,2,1020,504,78,23,2,1019,508,50,15,2,1023,508
18 50 31.041,+42 54 43.72,HD_174829,7339102,18503103+4254437,0,4,5.099,6.967,7,54,16,2,1011,440,82,24,2,1012,444,30,10,2,1016,444,2,2,2,1017,439
19 16 22.377,+49 25 28.14,HD_181020,11502218,19162237+4925280,2,4,5.393,6.974,102,82,24,2,159,188,30,10,2,163,189,2,2,2,164,184,54,16,2,158,183
19 50 25.523,+43 39 40.31,HD_187878,7909976,19502551+4339402,2,4,5.472,6.991,122,28,9,4,168,748,20,7,4,166,751,60,17,4,171,751,68,19,4,174,748
