time,tau1,tau1_err,tau2,tau2_err,tau3,tau3_err,tau4,tau4_err,tau5,tau5_err,tau6,tau6_err,tau7,tau7_err,tau8,tau8_err,tau9,tau9_err
55733.66448,1084.1407471,96.62190444926345,24.6472232,87.34692203087214,568.4555744,155.2918016380647,0.0,100000,52.6562507,215.32503131021878,-37.5508108,299.9,-452.7009891,299.9,-314.2436517,299.9,0.0,100000
55844.19902,522.8347983,73.74258588360962,-294.5254517,74.89918770978561,923.842431,161.5662178658653,1040.9336382,299.9,-13.0644858,212.48111580234797,0.0,100000,144.7403517,299.9,-347.0205342,299.9,1345.4476394,299.9
55864.20257,665.1950027,83.42307978338849,-218.278646,73.56930156437038,465.5159331,152.59576341518164,1169.8763277,299.9,-284.3118893,173.90901807374718,1394.5889793,280.90907679238074,-521.5703079,299.9,-363.9740941,294.6076618385676,179.9751138,299.9
55884.20609,295.0584713,74.98315337916952,-149.1245664,75.41341035267949,227.7743808,159.6544816714573,-186.4097401,299.9,-32.1832455,209.81643866682194,0.0,100000,-244.3712996,299.9,-292.7691425,286.59427918516684,-46.1957922,299.9
55904.20968,557.4079908,69.28874520282902,-152.6709295,88.8895899595538,-83.4954868,204.53126336326542,0.0,100000,32.3425685,252.8097495799278,840.7227622,299.9,-519.8485749,299.9,-32.8145571,299.9,731.5551803,299.9
55924.21347,803.4877727,85.47713416128275,-159.7636556,80.60883222743499,230.2253246,147.8409323675515,847.5196039,299.9,-40.5477029,227.02332241192266,0.0,100000,-85.9718663,299.9,-114.1916447,299.9,-43.8879258,299.9
55943.85997,587.9137489,87.24646813035999,-142.0318403,83.6232408237095,568.4555744,163.37991630671388,0.0,100000,-52.4969277,237.76567552778764,0.0,100000,72.427567,299.9,-4.5586239,299.9,969.2654182,299.9
55966.51056,655.0264167,71.93257757041567,-48.0532194,81.56635025213394,818.451846,148.9683665334844,1389.5564655,299.9,-77.5902998,207.45049215187058,0.0,100000,1492.8572677,299.9,-122.103306,299.9,1338.5240402,299.9
55986.51537,909.2410674,99.83517763448418,28.1935863,88.96051722064261,727.7669239,153.35555600526686,-1368.3843942,299.9,76.5547004,216.42435999393356,1240.297676,299.9,-292.5798228,299.9,11.2646987,299.9,844.6406333,299.9
56006.52045,640.7903963,91.39525123026522,164.7285639,88.3221718708433,884.6273296,150.36540452170564,-1220.339084,299.9,118.3769872,225.86424760409298,-284.8125149,299.9,-359.7274087,299.9,-110.8009327,294.7658950644457,553.8494685,299.9
56026.52576,789.2517523,66.36019242642531,171.82129,75.96309662611779,1362.5613782,139.0665534239866,1105.404983,299.9,204.411406,203.96131850355852,1262.0567059,299.9,127.523022,299.9,-49.768117,299.9,-237.7487023,299.9
56046.53121,1039.3989686,81.67408298636963,196.6458314,83.32179996408205,1244.9160739,158.77214188942284,1174.6519829,299.9,142.2754369,200.50799252971538,-1283.7497995,299.9,-36.0416102,299.9,297.2147426,274.24078519339383,256.1347046,299.9
56066.53667,750.6111254,95.74740605075402,97.3476658,84.27931798878102,1014.5273531,190.34029853554458,307.8705698,299.9,298.8102821,200.7589262509981,280.9222641,299.9,630.2690494,299.9,211.3167057,278.2305229601787,463.8426794,299.9
56086.54204,854.3307029,71.28178806454818,132.8112964,73.17920162838192,1200.7990848,177.81597551833323,-444.2951192,299.9,178.1231114,199.95832818785797,1064.2473427,299.9,215.3314035,299.9,77.948701,248.94607379944333,833.1013014,299.9
56101.30586,1100.4104848,141.87211227911217,196.6458314,105.02554185725856,296.4008083,277.4958614498372,49.9851908,299.9,66.9953205,299.9,0.0,100000,320.3571147,299.9,120.8977195,299.9,99.1997902,299.9
56216.47842,716.0379329,76.69147583207167,-159.7636556,75.89216936502898,605.219732,133.18428821042355,-315.3524296,299.9,-112.2430518,220.98896387631444,-878.2406047,266.72614544528284,-666.1958774,299.9,-300.6808037,276.74991206089027,879.2586291,299.9
56235.49096,317.4293605,84.1145436333727,-264.3813657,86.5667221588952,713.0612609,146.37036606416072,-1394.6504977,299.9,-269.9728195,198.32128438710885,-81.0688707,264.3128712132801,-712.6826676,299.9,-309.7227024,299.9,-283.9060301,299.9
56263.49388,376.4071595,95.09661654488654,-211.1859199,80.76841856488481,1161.5839834,148.4291588889078,-542.1960501,245.94624116981498,-171.989176,221.01286232596044,-524.1618445,299.9,-51.5372069,299.9,-305.2017531,283.47482416071176,392.2988214,299.9
56283.49761,295.0584713,68.49559549255301,-117.2072989,70.51942933755146,632.1801142,172.1052763734991,-642.4848087,225.4825587734527,-215.0063853,179.44150916678998,656.7600543,299.9,-580.1092289,299.9,-66.7216769,240.91008639948853,1006.1912804,299.9
56300.4979,705.8693469,98.77764468744952,-90.609576,101.67422877081219,1070.8990614,225.0946821723463,-90.8966367,299.9,-128.9719666,232.101742961692,237.4042042,299.9,-356.2839427,299.9,-287.1179558,281.9490037683153,-639.3174537,299.9
56333.49798,665.1950027,70.06155774104666,51.2449461,76.14041477883981,568.4555744,164.6053882262062,537.1020179,299.9,-89.5395247,205.51471773054678,-31.6165299,297.2679111355466,664.7037088,299.9,-192.1780203,294.30249776008833,0.0,100000
56353.50281,744.5099738,91.43592557438193,33.5131309,79.73997327909704,193.461167,161.34563292035668,367.5662595,277.1551476949556,-113.4379743,196.9112758579964,-1281.7717058,299.9,-139.3455884,299.9,138.9815167,299.9,-431.6094789,299.9
56373.50794,520.8010811,77.54563705852274,200.1921944,79.61585057219162,237.5781561,147.2036869694155,424.8741215,252.03520150945604,-109.8532069,193.37430531039237,-124.5869306,299.9,-280.527692,299.9,-67.8519142,265.87702896840574,766.1731762,299.9
56393.51327,833.9935308,76.91518472471363,132.8112964,85.64466776474065,715.5122047,151.95851801704563,-50.3035678,223.02309636175454,21.5882662,201.67901656236808,884.2408221,299.9,492.5304118,299.9,267.8285721,299.9,692.3214518,299.9
56413.5187,1322.0856602,120.09100100460971,253.3876402,92.54234390562763,668.9442718,147.59583798365304,-157.7558091,273.7405542495883,77.7496228,225.23093868847468,1295.6842977,299.9,161.9576814,299.9,88.120837,299.9,0.0,100000
56423.76666519116,0.0,100000,-179.2686524,299.9,0.0,100000,0.0,100000,1125.6966398,299.9,0.0,100000,-1205.0982972,299.9,0.0,100000,0.0,100000
